Country,Country2,Flag,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117
South Africa,South Africa,https://www.countryflags.io/ZA/shiny/64.png,390310.0,391154.0,429000.0,453000.0,450000.0,430000.0,378000.0,355000.0,390000.0,388176.0,415957.0,466552.0,488394.0,527036.0,515035.0,508549.0,543690.0,588683.0,642044.0,584678.0,542000.0,582000.0,588000.0,620000.0,650000.0,604000.0,596000.0,545000.0,542000.0,609000.0,681000.0,720500.0,658000.0,557000.0,523000.0,480000.0,789000.0,522000.0,558000.0,582000.0,572000.0,579000.0,635000.0,683000.0,746000.0,832000.0,829000.0,798000.0,803000.0,897000.0,878000.0,875000.0,953107.0,1000659.0,1072800.0,1089690.0,1014050.0,1062007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Pakistan,https://www.countryflags.io/PK/shiny/64.png,131100.0,133400.0,135650.0,139100.0,141350.0,144800.0,147000.0,150500.0,152500.0,155000.0,156000.0,157000.0,165000.0,165000.0,165000.0,166000.0,167000.0,166000.0,167000.0,189000.0,195000.0,201000.0,207000.0,216000.0,226000.0,248000.0,258000.0,267000.0,277000.0,287000.0,297000.0,308000.0,318000.0,330000.0,342000.0,341000.0,398000.0,405000.0,413000.0,420000.0,428000.0,437000.0,445000.0,455000.0,464000.0,632000.0,656000.0,680000.0,707000.0,733000.0,761000.0,789000.0,822000.0,850000.0,882000.0,915000.0,948000.0,969693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Turkey,https://www.countryflags.io/TR/shiny/64.png,94767.0,101432.0,94722.0,90634.0,95203.0,106336.0,97880.0,104335.0,118383.0,114493.0,103779.0,91490.0,98038.0,124778.0,132865.0,114706.0,127045.0,103596.0,147634.0,130380.0,142540.0,159524.0,160564.0,384797.0,318164.0,449832.0,326020.0,315403.0,367895.0,360704.0,339478.0,300605.0,295995.0,316585.0,292450.0,301835.0,379542.0,359000.0,349681.0,354636.0,331590.0,327630.0,290454.0,365000.0,321681.0,340705.0,431963.0,370619.0,325286.0,618584.0,644906.0,799344.0,869292.0,881999.0,1014926.0,1059195.0,987482.0,1059237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,United Kingdom,https://www.countryflags.io/GB/shiny/64.png,907472.0,919519.0,946485.0,878268.0,834319.0,868575.0,923530.0,907603.0,873553.0,947000.0,937000.0,905000.0,854000.0,1072000.0,1215000.0,1057000.0,1022000.0,1028000.0,1047000.0,1102000.0,1041000.0,965000.0,1038000.0,1152000.0,1179000.0,1062037.0,1118256.0,946101.0,977789.0,1001743.0,1019566.0,973000.0,888000.0,947000.0,1002000.0,710000.0,688000.0,699000.0,679000.0,705000.0,645000.0,694000.0,699000.0,719000.0,762000.0,847281.0,882000.0,862000.0,833000.0,908000.0,936000.0,885000.0,847000.0,877000.0,885000.0,912000.0,902000.0,909150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,India,https://www.countryflags.io/IN/shiny/64.png,505680.0,514720.0,528800.0,534400.0,548800.0,560000.0,578400.0,593600.0,608000.0,624000.0,640000.0,648000.0,672400.0,696370.0,723492.0,751145.0,766190.0,782600.0,817713.0,853424.0,863456.0,933610.0,959310.0,966060.0,946400.0,948520.0,1021140.0,1026198.0,1030845.0,1035878.0,1067080.0,1051424.0,1045553.0,1039682.0,1033811.0,1027940.0,1021966.0,1009915.0,997864.0,986225.0,974483.0,963050.0,951720.0,969127.0,986740.0,1004868.0,1023058.0,1014551.0,1006311.0,998071.0,989522.0,980561.0,971291.0,960992.0,922345.0,907887.0,888508.0,885924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Canada,https://www.countryflags.io/CA/shiny/64.png,655323.0,665216.0,702979.0,777694.0,867470.0,858537.0,845945.0,891938.0,846394.0,850629.0,896349.0,897588.0,906266.0,953071.0,1087684.0,1165559.0,1142105.0,1063113.0,947455.0,970706.0,1013663.0,1025155.0,1032456.0,990722.0,1028790.0,1028240.0,953380.0,947380.0,951930.0,900100.0,865960.0,898800.0,859630.0,899460.0,928210.0,1016500.0,1089480.0,1181920.0,1263530.0,1263440.0,1261610.0,1297530.0,1203610.0,1500140.0,1469980.0,1328700.0,1277650.0,1303630.0,1239440.0,1275720.0,1140980.0,1059920.0,1055730.0,1100340.0,1094884.0,931848.0,880039.0,877045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,Uzbekistan,https://www.countryflags.io/UZ/shiny/64.png,323300.0,378000.0,390000.0,392000.0,362000.0,387000.0,400000.0,370500.0,390000.0,404000.0,425300.0,455900.0,493600.0,518100.0,551590.0,551000.0,586000.0,622700.0,665300.0,667500.0,708200.0,750000.0,800000.0,850000.0,893061.0,758690.0,819696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Colombia,https://www.countryflags.io/CO/shiny/64.png,328000.0,361400.0,375000.0,390000.0,392300.0,362600.0,359100.0,376500.0,390000.0,417800.0,462000.0,425000.0,408000.0,423000.0,470000.0,544502.0,540468.0,570400.0,597085.0,593223.0,624254.0,587004.0,553055.0,587889.0,585859.0,580541.0,569390.0,622408.0,691676.0,746107.0,701007.0,594586.0,602550.0,646274.0,702334.0,730034.0,762988.0,766000.0,716000.0,745000.0,700000.0,675000.0,642242.0,717288.0,792168.0,827220.0,856261.0,917368.0,810068.0,766591.0,820985.0,854232.0,856232.0,837384.0,854314.0,796544.0,752969.0,768850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Italy,https://www.countryflags.io/IT/shiny/64.png,677100.0,724560.0,678400.0,635380.0,675700.0,812600.0,889200.0,971300.0,1026634.0,1076080.0,1083000.0,1026670.0,1061000.0,1074398.0,964149.0,1016662.0,1050756.0,1022919.0,1104490.0,1146823.0,1109545.0,1106395.0,1187744.0,1181266.0,1204074.0,1179364.0,1173809.0,1164410.0,1145402.0,1164855.0,1181141.0,1217170.0,1187265.0,1170832.0,1180461.0,1180537.0,1159360.0,1111280.0,1164433.0,1151935.0,1133037.0,1133800.0,1126869.0,1145103.0,1101972.0,1109214.0,1118531.0,1056912.0,1049261.0,1068900.0,1000374.0,957787.0,842122.0,694634.0,771767.0,791284.0,739830.0,720150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,New Zealand,https://www.countryflags.io/NZ/shiny/64.png,236500.0,281800.0,293100.0,287000.0,271400.0,287300.0,297000.0,339400.0,370500.0,386500.0,393200.0,409900.0,445500.0,404700.0,508100.0,628100.0,557700.0,561500.0,511600.0,496000.0,498100.0,516000.0,512100.0,433400.0,486700.0,467600.0,554504.0,571626.0,556000.0,478643.0,525197.0,549647.0,544323.0,565715.0,597603.0,649271.0,632594.0,651217.0,554201.0,587457.0,590911.0,574304.0,632120.0,710348.0,663435.0,639975.0,631690.0,631020.0,637664.0,638013.0,618211.0,607044.0,627174.0,625675.0,675844.0,673070.0,641745.0,653963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Spain,https://www.countryflags.io/ES/shiny/64.png,177546.0,163160.0,172467.0,225438.0,177462.0,197863.0,215208.0,241421.0,255786.0,308159.0,323620.0,302500.0,371200.0,416000.0,453600.0,418100.0,430800.0,391120.0,394300.0,421549.0,417674.0,419926.0,421780.0,398418.0,400662.0,439661.0,449534.0,450277.0,459259.0,513898.0,509284.0,539418.0,488000.0,483734.0,508492.0,564602.0,592252.0,650727.0,661068.0,651093.0,650841.0,678838.0,706369.0,713886.0,715329.0,670048.0,620166.0,658332.0,598431.0,606596.0,604113.0,591319.0,580840.0,585218.0,626104.0,637013.0,643861.0,642863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
