사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2025-12,경부선,1718,오산대,149 ,2 ,2939 ,983 ,8253 ,2953 ,13853 ,5103 ,11319 ,9118 ,7363 ,3285 ,6352 ,3272 ,5668 ,3658 ,5650 ,3504 ,6610 ,4580 ,5577 ,4754 ,6332 ,5211 ,7449 ,7462 ,8489 ,10208 ,9263 ,13156 ,4573 ,11647 ,3543 ,6829 ,3576 ,6118 ,2509 ,5453 ,1101 ,3196 ,111 ,291 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경부선,1719,오산,347 ,5 ,7685 ,2212 ,16398 ,11531 ,26308 ,22702 ,27815 ,24601 ,21021 ,13726 ,20737 ,12321 ,19496 ,11963 ,20655 ,15073 ,18601 ,15703 ,19028 ,17349 ,19796 ,21380 ,24631 ,25590 ,26633 ,29350 ,26368 ,33180 ,17144 ,26409 ,12922 ,19749 ,9698 ,15016 ,5906 ,12218 ,2149 ,9048 ,164 ,751 ,0 ,3 ,0 ,0 ,0 ,0 
2025-12,경부선,1720,진위,29 ,0 ,921 ,424 ,1417 ,2515 ,2894 ,8861 ,2575 ,7791 ,2148 ,2523 ,1994 ,2060 ,2174 ,1291 ,2027 ,1053 ,1947 ,1450 ,2077 ,1291 ,4197 ,1653 ,4605 ,1863 ,7566 ,2445 ,6912 ,2551 ,2691 ,2203 ,1597 ,1507 ,1097 ,1391 ,588 ,1267 ,274 ,847 ,12 ,66 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경부선,1721,송탄,67 ,2 ,5091 ,1010 ,8385 ,3044 ,12443 ,6444 ,11026 ,9559 ,9320 ,4397 ,8346 ,3693 ,9014 ,5573 ,8610 ,5333 ,8886 ,5605 ,7970 ,7012 ,9020 ,7323 ,9898 ,10090 ,9412 ,11932 ,9011 ,12182 ,5496 ,12954 ,3912 ,9621 ,3124 ,7754 ,2036 ,7520 ,972 ,5600 ,81 ,598 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경부선,1722,서정리,40 ,0 ,4469 ,3183 ,14148 ,7045 ,18811 ,14873 ,18309 ,18567 ,15873 ,9012 ,14824 ,7447 ,14297 ,8292 ,15273 ,10915 ,13547 ,11497 ,15014 ,12408 ,16727 ,14996 ,20893 ,20351 ,29042 ,21561 ,19030 ,22465 ,11515 ,19867 ,9213 ,16609 ,7156 ,12253 ,5029 ,11559 ,2852 ,8716 ,118 ,1092 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경부선,1723,평택지제,8 ,1 ,2752 ,4799 ,5397 ,9314 ,11908 ,11514 ,10704 ,7501 ,7489 ,5128 ,6803 ,4062 ,6710 ,4593 ,7274 ,4699 ,5477 ,4396 ,6181 ,5620 ,8810 ,7113 ,8962 ,8340 ,14990 ,9261 ,10347 ,10069 ,8312 ,9957 ,5658 ,6825 ,4697 ,6457 ,4872 ,5978 ,2846 ,4022 ,85 ,439 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경부선,1724,평택,90 ,2 ,8655 ,3344 ,13724 ,9949 ,24576 ,15997 ,27603 ,23612 ,27103 ,20692 ,26301 ,18344 ,24321 ,22641 ,24159 ,24782 ,25171 ,25526 ,25632 ,26561 ,27756 ,29463 ,30644 ,36183 ,32532 ,36315 ,28593 ,37029 ,21318 ,25640 ,21575 ,21931 ,14810 ,16253 ,12950 ,12815 ,7115 ,7757 ,191 ,2424 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경부선,1725,성환,13 ,1 ,2246 ,846 ,3602 ,3121 ,6086 ,12096 ,6892 ,15436 ,7314 ,15656 ,7831 ,8502 ,8338 ,5958 ,9268 ,8625 ,11760 ,9436 ,11935 ,6040 ,14837 ,6604 ,15847 ,7402 ,18241 ,8106 ,12431 ,7953 ,5223 ,6590 ,4080 ,6291 ,2597 ,5143 ,1904 ,5849 ,733 ,4715 ,71 ,1215 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경부선,1726,직산,26 ,0 ,751 ,306 ,1647 ,1390 ,2411 ,3685 ,2327 ,3456 ,2091 ,1298 ,1652 ,1001 ,1670 ,1043 ,1498 ,1134 ,1585 ,1226 ,1320 ,1351 ,1823 ,1280 ,1786 ,1829 ,4097 ,2451 ,3299 ,2106 ,1159 ,2264 ,998 ,1354 ,650 ,1429 ,373 ,1175 ,170 ,902 ,21 ,172 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경부선,1727,두정,875 ,3 ,5736 ,1160 ,10850 ,3933 ,18398 ,9450 ,16666 ,17202 ,16718 ,19354 ,13619 ,14061 ,13884 ,13073 ,14968 ,14516 ,15016 ,14016 ,15139 ,12189 ,16933 ,12296 ,17650 ,16104 ,17656 ,19351 ,16753 ,24752 ,10593 ,17177 ,8563 ,13884 ,7532 ,11310 ,5260 ,12750 ,2834 ,9148 ,48 ,3173 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경부선,1728,천안,1454 ,6 ,3065 ,788 ,5800 ,3531 ,11440 ,6910 ,10181 ,13121 ,16014 ,11477 ,12258 ,11477 ,13913 ,13813 ,13371 ,14987 ,14086 ,13960 ,18752 ,13519 ,18162 ,15152 ,19321 ,14910 ,17894 ,20001 ,14552 ,18443 ,9786 ,11177 ,8581 ,9183 ,6220 ,6841 ,3806 ,5513 ,2288 ,3358 ,56 ,2542 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경부선,1729,당정,56 ,1 ,4726 ,797 ,11056 ,4169 ,24835 ,9177 ,21539 ,16334 ,12426 ,8232 ,10163 ,5722 ,10021 ,5869 ,10775 ,6706 ,9526 ,6644 ,9117 ,6498 ,10096 ,8346 ,11129 ,11172 ,13499 ,14854 ,13552 ,20534 ,5672 ,17012 ,4671 ,11864 ,3639 ,10708 ,3021 ,9636 ,1307 ,6740 ,71 ,1336 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경부선,1749,서동탄,2 ,0 ,1502 ,12 ,5863 ,454 ,10636 ,1345 ,3776 ,920 ,2817 ,902 ,2118 ,612 ,2154 ,933 ,1761 ,968 ,1698 ,1055 ,1620 ,1413 ,2000 ,2155 ,1912 ,2530 ,2000 ,2971 ,1871 ,5572 ,773 ,5256 ,728 ,2307 ,481 ,2474 ,430 ,2754 ,162 ,1755 ,3 ,1252 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경부선,1750,광명,2 ,0 ,7 ,1682 ,3672 ,3139 ,11666 ,7045 ,10683 ,8553 ,6914 ,6367 ,4081 ,4213 ,8194 ,2574 ,5888 ,8510 ,5608 ,228 ,3811 ,8770 ,7283 ,4159 ,8549 ,5541 ,10007 ,7586 ,10993 ,12562 ,8987 ,6598 ,2826 ,4691 ,7922 ,3388 ,2842 ,5050 ,1032 ,123 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경인선,1801,개봉,1357 ,2 ,18378 ,4533 ,40862 ,11744 ,99004 ,15176 ,90972 ,23903 ,54552 ,21706 ,40808 ,18512 ,38325 ,22500 ,37244 ,26632 ,34503 ,29246 ,31511 ,30933 ,33435 ,40298 ,35868 ,53109 ,35468 ,69851 ,31305 ,95098 ,20577 ,67813 ,16875 ,46249 ,15234 ,40572 ,11849 ,36730 ,4850 ,20610 ,74 ,2094 ,0 ,1 ,0 ,0 ,0 ,0 
2025-12,경인선,1802,오류동,399 ,5 ,12449 ,1521 ,18745 ,4188 ,50178 ,5415 ,47291 ,11654 ,30026 ,10190 ,22837 ,9134 ,21166 ,9511 ,21079 ,13108 ,19458 ,14946 ,16830 ,15372 ,16951 ,19988 ,17626 ,23169 ,16532 ,29691 ,13558 ,43576 ,8616 ,35319 ,6911 ,23989 ,5676 ,21664 ,4196 ,19553 ,1822 ,13030 ,77 ,1850 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경인선,1803,역곡,828 ,22 ,27487 ,2741 ,44497 ,9043 ,111442 ,14061 ,108423 ,34555 ,63219 ,29829 ,45989 ,23034 ,41227 ,24375 ,41749 ,31809 ,41256 ,32558 ,36317 ,34839 ,37292 ,43811 ,41135 ,59029 ,42729 ,75898 ,34617 ,110748 ,21876 ,83984 ,18113 ,52331 ,15251 ,50813 ,12344 ,41988 ,5747 ,28841 ,352 ,4326 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경인선,1804,부천,3729 ,27 ,38379 ,4522 ,41711 ,11354 ,96649 ,18128 ,99725 ,45080 ,64827 ,43960 ,50575 ,43151 ,51802 ,45240 ,54130 ,55037 ,53545 ,57302 ,55709 ,53949 ,61310 ,61703 ,64140 ,68354 ,60757 ,93510 ,57968 ,108540 ,37500 ,86812 ,31402 ,57101 ,27527 ,51419 ,21393 ,42739 ,10556 ,30742 ,829 ,6481 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경인선,1805,송내,1461 ,11 ,16504 ,7357 ,38898 ,13937 ,103651 ,26473 ,86010 ,72743 ,51935 ,39835 ,39877 ,24301 ,41714 ,22647 ,39487 ,28064 ,35969 ,27950 ,33755 ,30686 ,38001 ,34988 ,40982 ,46543 ,50003 ,65242 ,70526 ,87784 ,28058 ,78251 ,22125 ,48885 ,18765 ,42478 ,13671 ,37737 ,6525 ,24589 ,720 ,4371 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경인선,1806,부평,10129 ,62 ,23530 ,3710 ,36089 ,8916 ,88660 ,18228 ,79404 ,34683 ,49627 ,38518 ,42070 ,36453 ,44102 ,43621 ,47276 ,49487 ,47488 ,57648 ,48984 ,59434 ,56091 ,60049 ,60761 ,73872 ,62378 ,94220 ,56372 ,117234 ,41635 ,91758 ,39265 ,56357 ,37310 ,47190 ,31388 ,38419 ,17408 ,25914 ,2664 ,8387 ,2 ,39 ,0 ,0 ,0 ,0 
2025-12,경인선,1807,백운,86 ,24 ,8652 ,1305 ,14733 ,2435 ,28441 ,4209 ,26990 ,8909 ,16243 ,6030 ,13986 ,6092 ,12123 ,7134 ,11967 ,8110 ,11589 ,9169 ,10084 ,9386 ,10643 ,12254 ,10896 ,15961 ,10659 ,19555 ,8212 ,24160 ,4601 ,22362 ,3709 ,13232 ,3485 ,12704 ,2418 ,10963 ,1186 ,6645 ,144 ,2399 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경인선,1808,동암,474 ,11 ,21405 ,2820 ,28934 ,6230 ,55124 ,12779 ,54381 ,16361 ,33374 ,13810 ,27963 ,14742 ,25617 ,17791 ,26957 ,19021 ,25028 ,20807 ,22607 ,21049 ,23032 ,26404 ,24192 ,36276 ,24857 ,46358 ,21749 ,56331 ,14009 ,47640 ,11655 ,33425 ,10227 ,28921 ,7870 ,26084 ,3945 ,15778 ,393 ,5134 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경인선,1809,주안,1146 ,20 ,14626 ,2979 ,28981 ,7136 ,58377 ,16306 ,52350 ,26630 ,34607 ,20815 ,29504 ,18525 ,30672 ,18795 ,33360 ,20820 ,31036 ,22627 ,29415 ,23099 ,32290 ,26249 ,34499 ,34436 ,37825 ,43563 ,35338 ,54184 ,21553 ,54674 ,19958 ,32839 ,17106 ,27953 ,13188 ,26184 ,7016 ,19477 ,786 ,6063 ,0 ,5 ,0 ,0 ,0 ,0 
2025-12,경인선,1810,제물포,865 ,6 ,8378 ,1627 ,17951 ,5589 ,38427 ,13741 ,32738 ,34593 ,20793 ,15787 ,17476 ,10632 ,17740 ,9482 ,18664 ,12528 ,17972 ,13338 ,16528 ,12612 ,20338 ,15463 ,24358 ,19946 ,23107 ,24595 ,22626 ,32218 ,9977 ,29096 ,7703 ,17598 ,6418 ,16511 ,4335 ,15094 ,1533 ,11118 ,78 ,3805 ,0 ,4 ,0 ,0 ,0 ,0 
2025-12,경인선,1811,동인천,1584 ,5 ,7273 ,2054 ,17330 ,10657 ,40117 ,20610 ,32369 ,30453 ,21832 ,16744 ,20893 ,17065 ,21456 ,19783 ,25172 ,20229 ,23439 ,21586 ,23096 ,21859 ,28294 ,23033 ,32666 ,25811 ,36539 ,28679 ,34476 ,33355 ,15926 ,32161 ,12054 ,19657 ,9804 ,16240 ,6400 ,14772 ,2324 ,9441 ,11 ,3602 ,0 ,5 ,0 ,0 ,0 ,0 
2025-12,경인선,1812,인천,426 ,14 ,1485 ,804 ,3075 ,3431 ,5322 ,6156 ,4531 ,10584 ,3658 ,5778 ,3923 ,5773 ,4923 ,7773 ,6244 ,8181 ,6929 ,7489 ,9020 ,6336 ,10512 ,5458 ,11933 ,4729 ,12794 ,4566 ,11707 ,4070 ,5245 ,2967 ,4203 ,2414 ,2568 ,2105 ,1537 ,1675 ,584 ,1219 ,20 ,1016 ,1 ,26 ,0 ,0 ,0 ,0 
2025-12,경인선,1813,구일,345 ,7 ,4668 ,1962 ,10488 ,6760 ,26574 ,9548 ,23224 ,15074 ,14698 ,12511 ,12057 ,8800 ,11953 ,8952 ,12268 ,9979 ,10148 ,14419 ,11413 ,15504 ,13232 ,23370 ,16276 ,31756 ,14940 ,24617 ,11583 ,33341 ,11883 ,27181 ,10812 ,12649 ,17578 ,11275 ,21977 ,10207 ,3546 ,6676 ,40 ,759 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경인선,1814,소사,1044 ,14 ,12591 ,2418 ,14093 ,4716 ,30635 ,7248 ,28092 ,9994 ,18200 ,8852 ,15200 ,8843 ,14692 ,9048 ,14861 ,11772 ,14075 ,11925 ,12530 ,12072 ,12847 ,14665 ,14300 ,16805 ,13724 ,21552 ,10259 ,26690 ,6594 ,21278 ,4766 ,14709 ,3960 ,13717 ,2649 ,11628 ,1231 ,8642 ,124 ,2679 ,0 ,0 ,0 ,0 ,0 ,1 
2025-12,경인선,1815,부개,1882 ,5 ,10547 ,1364 ,16848 ,2992 ,39248 ,5547 ,32920 ,11521 ,19552 ,6459 ,15995 ,6607 ,14737 ,8418 ,14384 ,9400 ,14301 ,10305 ,11725 ,12526 ,11858 ,14052 ,13021 ,18805 ,12170 ,24135 ,10907 ,28965 ,6076 ,24438 ,4465 ,16068 ,3572 ,14946 ,2480 ,12215 ,1271 ,8601 ,165 ,2519 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경인선,1816,간석,328 ,1 ,6415 ,1073 ,11392 ,2401 ,21373 ,4244 ,19973 ,9593 ,11981 ,4800 ,10519 ,5423 ,10254 ,6013 ,10092 ,6570 ,9503 ,8085 ,8846 ,8358 ,9350 ,9457 ,9994 ,13006 ,9968 ,15157 ,9421 ,18767 ,5129 ,17201 ,3985 ,11087 ,3756 ,9168 ,2621 ,7829 ,1306 ,5966 ,147 ,2158 ,0 ,2 ,0 ,0 ,0 ,0 
2025-12,경인선,1817,도원,776 ,35 ,2177 ,1792 ,3220 ,4680 ,7348 ,5680 ,7395 ,19233 ,4849 ,3603 ,4953 ,4372 ,4955 ,3576 ,5997 ,4093 ,6626 ,4549 ,5580 ,4775 ,8372 ,5028 ,11203 ,6154 ,9823 ,6129 ,7853 ,6592 ,2657 ,6047 ,2047 ,4100 ,1746 ,3329 ,961 ,2873 ,384 ,2394 ,27 ,1507 ,0 ,2 ,0 ,0 ,0 ,0 
2025-12,경인선,1821,온수(성공회대입구),182 ,1 ,5399 ,1426 ,8275 ,3121 ,22860 ,8311 ,19476 ,11817 ,13922 ,6995 ,11343 ,5840 ,11868 ,5994 ,12788 ,7763 ,11781 ,7768 ,10241 ,8617 ,11801 ,10645 ,13421 ,12286 ,11085 ,15244 ,9936 ,20478 ,4850 ,16330 ,3854 ,10757 ,4033 ,9833 ,2599 ,9204 ,1604 ,5724 ,118 ,1038 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경인선,1822,중동,1019 ,23 ,10857 ,1335 ,17973 ,3815 ,42830 ,5427 ,34044 ,11421 ,21082 ,8175 ,16214 ,8305 ,15582 ,9621 ,16137 ,11049 ,15306 ,12435 ,13471 ,12443 ,13431 ,15873 ,13932 ,19492 ,14286 ,25871 ,10846 ,31401 ,6717 ,26339 ,5277 ,17272 ,4716 ,15051 ,2849 ,13188 ,1247 ,8609 ,151 ,2067 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경인선,1823,도화,265 ,3 ,4363 ,508 ,7469 ,1737 ,15136 ,4413 ,12942 ,7217 ,8350 ,4121 ,7618 ,3882 ,7537 ,4451 ,7228 ,5101 ,6920 ,5394 ,7229 ,5848 ,6834 ,6793 ,7273 ,9413 ,6764 ,9615 ,6352 ,10516 ,2966 ,10198 ,2682 ,6377 ,2300 ,5466 ,1362 ,4607 ,611 ,3772 ,34 ,1859 ,0 ,2 ,0 ,0 ,0 ,0 
2025-12,경원선,1008,이촌(국립중앙박물관),57 ,2 ,1158 ,400 ,3567 ,2953 ,8847 ,4731 ,10701 ,8773 ,8517 ,5370 ,7595 ,4326 ,7257 ,4596 ,6861 ,4490 ,7488 ,5400 ,6906 ,5143 ,8417 ,6074 ,9835 ,6941 ,10866 ,7449 ,9514 ,9056 ,4575 ,6726 ,4223 ,5093 ,3561 ,4867 ,2200 ,4331 ,670 ,2621 ,56 ,817 ,2 ,2 ,0 ,0 ,0 ,0 
2025-12,경원선,1009,서빙고,63 ,2 ,1020 ,713 ,2296 ,4960 ,3242 ,4008 ,3871 ,9223 ,3513 ,3988 ,3929 ,3958 ,3093 ,2897 ,4054 ,2865 ,4006 ,4901 ,4170 ,3883 ,5263 ,5374 ,9033 ,5283 ,10323 ,4400 ,7655 ,4808 ,2855 ,3788 ,2246 ,2109 ,2434 ,2230 ,1429 ,1787 ,280 ,1102 ,56 ,276 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1010,한남,174 ,1 ,778 ,686 ,1435 ,4522 ,2511 ,11182 ,2882 ,15179 ,3017 ,12442 ,3649 ,7332 ,5011 ,5226 ,5226 ,5498 ,4860 ,5923 ,6359 ,5090 ,7890 ,5137 ,9350 ,6133 ,14966 ,7206 ,13560 ,7376 ,7775 ,4790 ,5955 ,2438 ,6129 ,2338 ,5620 ,1433 ,2356 ,897 ,146 ,337 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1011,옥수,0 ,0 ,0 ,33 ,2 ,56 ,27 ,35 ,83 ,247 ,18 ,13 ,20 ,184 ,25 ,232 ,22 ,94 ,19 ,19 ,16 ,20 ,35 ,42 ,467 ,60 ,432 ,37 ,64 ,35 ,325 ,16 ,42 ,25 ,34 ,10 ,31 ,14 ,23 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1012,응봉,152 ,1 ,1174 ,142 ,2899 ,947 ,7062 ,1214 ,7037 ,2200 ,5029 ,1617 ,3879 ,1342 ,3407 ,1423 ,3106 ,1740 ,2721 ,2093 ,2697 ,2531 ,2963 ,2883 ,3169 ,3873 ,2982 ,4639 ,2343 ,5263 ,1371 ,4305 ,878 ,3013 ,693 ,2572 ,475 ,2333 ,210 ,1467 ,40 ,523 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1013,왕십리(성동구청),1001 ,33 ,6187 ,1507 ,8920 ,6393 ,27337 ,14298 ,45058 ,24249 ,28448 ,21197 ,19818 ,21527 ,21373 ,26392 ,26244 ,29050 ,29474 ,28686 ,31893 ,30364 ,36580 ,34667 ,41367 ,40810 ,43101 ,53940 ,41153 ,70915 ,33172 ,49341 ,33574 ,30882 ,35638 ,26058 ,28802 ,23294 ,13248 ,12443 ,1530 ,4706 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1014,청량리(서울시립대입구),1446 ,14 ,4935 ,1986 ,7592 ,12909 ,28601 ,15614 ,42816 ,22550 ,31904 ,33518 ,38646 ,32812 ,33511 ,43080 ,36424 ,38144 ,37180 ,37673 ,40187 ,42362 ,43330 ,40289 ,44827 ,45551 ,42171 ,45598 ,40086 ,56123 ,33799 ,38993 ,29222 ,23147 ,19971 ,21369 ,11251 ,15167 ,6318 ,7962 ,237 ,3471 ,0 ,1 ,0 ,0 ,0 ,0 
2025-12,경원선,1016,외대앞,418 ,24 ,5348 ,1758 ,11021 ,5772 ,30316 ,7957 ,34336 ,24705 ,19614 ,15447 ,16877 ,16612 ,17770 ,18921 ,19797 ,16436 ,20059 ,15575 ,21891 ,17819 ,23494 ,17825 ,27793 ,20469 ,30350 ,25134 ,20815 ,34756 ,12972 ,27316 ,11673 ,19112 ,11621 ,17597 ,8758 ,19048 ,4485 ,13437 ,357 ,3633 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1017,신이문,1613 ,50 ,8384 ,953 ,14144 ,2554 ,35145 ,4354 ,40395 ,8780 ,23226 ,5577 ,17024 ,6095 ,14766 ,7875 ,14071 ,9387 ,13209 ,10416 ,11577 ,10941 ,11474 ,16486 ,11807 ,19986 ,11600 ,22807 ,10091 ,31875 ,5638 ,23146 ,4091 ,16575 ,3147 ,15251 ,2384 ,14239 ,1179 ,9775 ,118 ,2416 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1018,석계,1663 ,16 ,5461 ,2172 ,10054 ,7308 ,21384 ,5062 ,22938 ,7958 ,15943 ,6492 ,14961 ,6930 ,14627 ,9025 ,14247 ,9905 ,13692 ,11580 ,12418 ,12623 ,12818 ,17050 ,14951 ,21404 ,15155 ,24536 ,10506 ,33431 ,7912 ,23003 ,6568 ,16778 ,6316 ,16117 ,5052 ,13935 ,2963 ,9066 ,214 ,2378 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1019,광운대,2399 ,11 ,6602 ,1266 ,14949 ,2985 ,32234 ,6376 ,28947 ,14584 ,16450 ,10928 ,13829 ,10389 ,13964 ,11683 ,13743 ,11317 ,14496 ,12226 ,13392 ,12987 ,14344 ,14260 ,16134 ,17540 ,15506 ,20447 ,12200 ,26548 ,7757 ,21402 ,8217 ,14469 ,7573 ,12787 ,5100 ,12284 ,2817 ,10310 ,192 ,5857 ,1 ,12 ,0 ,0 ,0 ,0 
2025-12,경원선,1020,월계,1015 ,9 ,4779 ,1359 ,9176 ,2510 ,24868 ,6409 ,23511 ,14329 ,15539 ,11051 ,13690 ,7835 ,13334 ,7041 ,13115 ,9087 ,14043 ,10949 ,12007 ,9923 ,12629 ,11024 ,14972 ,14269 ,12654 ,15312 ,9736 ,22391 ,5404 ,15938 ,4316 ,10376 ,3620 ,9602 ,3218 ,9250 ,1212 ,5787 ,103 ,1549 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1021,녹천,1369 ,37 ,4213 ,721 ,8007 ,1556 ,20845 ,4087 ,18532 ,4951 ,10290 ,2646 ,8710 ,3481 ,7408 ,3339 ,8286 ,4357 ,6749 ,4511 ,5543 ,5434 ,6034 ,6436 ,7080 ,8363 ,6288 ,9910 ,4650 ,14710 ,3224 ,11316 ,1864 ,7525 ,1834 ,7124 ,1083 ,6939 ,459 ,4009 ,52 ,1078 ,0 ,2 ,0 ,0 ,0 ,0 
2025-12,경원선,1022,창동,0 ,0 ,1 ,0 ,2 ,0 ,9 ,0 ,8 ,0 ,8 ,0 ,8 ,0 ,10 ,0 ,10 ,0 ,19 ,0 ,12 ,0 ,16 ,0 ,3 ,0 ,19 ,0 ,16 ,0 ,12 ,0 ,6 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1901,방학,458 ,7 ,10883 ,1782 ,15383 ,5369 ,34618 ,9979 ,30461 ,21533 ,21287 ,12093 ,19031 ,12961 ,18428 ,11741 ,20181 ,14182 ,17875 ,14619 ,16579 ,17279 ,17380 ,20560 ,17459 ,23670 ,18335 ,26017 ,19165 ,30400 ,10287 ,26355 ,8269 ,16433 ,7024 ,14457 ,4426 ,12784 ,2169 ,7663 ,347 ,2546 ,0 ,5 ,0 ,0 ,0 ,0 
2025-12,경원선,1902,도봉,238 ,6 ,6484 ,1223 ,10408 ,3304 ,19700 ,3915 ,17883 ,10942 ,14034 ,8120 ,12644 ,7188 ,11432 ,7108 ,10732 ,9257 ,10964 ,9239 ,10540 ,9789 ,10518 ,11920 ,10130 ,13736 ,10264 ,14983 ,10392 ,16547 ,4442 ,14026 ,3223 ,8763 ,2683 ,8185 ,1731 ,7359 ,942 ,4551 ,174 ,1664 ,0 ,3 ,0 ,0 ,0 ,0 
2025-12,경원선,1903,도봉산,220 ,5 ,6673 ,890 ,9145 ,2238 ,20192 ,3960 ,20509 ,5986 ,14679 ,9670 ,13358 ,12103 ,13728 ,12577 ,15014 ,13347 ,18124 ,10938 ,19911 ,10269 ,20636 ,10136 ,19035 ,10766 ,15142 ,9790 ,10973 ,10255 ,6548 ,8344 ,4582 ,5613 ,3359 ,5323 ,2301 ,4776 ,1118 ,3120 ,224 ,1323 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1904,망월사,440 ,5 ,7876 ,1167 ,12770 ,3545 ,28289 ,5152 ,25479 ,17877 ,18876 ,14818 ,16593 ,10588 ,16321 ,14973 ,17626 ,13183 ,17584 ,13008 ,16438 ,14568 ,17096 ,15280 ,17266 ,18274 ,16562 ,21453 ,11344 ,26315 ,6614 ,22133 ,5666 ,14985 ,4854 ,13308 ,4082 ,11474 ,1868 ,7605 ,345 ,3628 ,0 ,1 ,0 ,0 ,0 ,0 
2025-12,경원선,1905,회룡,1770 ,7 ,14701 ,2374 ,29004 ,6458 ,57867 ,8898 ,50396 ,14164 ,33352 ,12043 ,29613 ,12156 ,27131 ,15165 ,26364 ,17341 ,22876 ,19336 ,19899 ,21758 ,20495 ,26686 ,19472 ,32234 ,17685 ,38669 ,12877 ,46970 ,8486 ,41951 ,6734 ,27018 ,6018 ,21710 ,3920 ,19456 ,1874 ,12302 ,336 ,5497 ,0 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1906,의정부,3509 ,9 ,10871 ,2553 ,30206 ,7895 ,50262 ,11885 ,49259 ,35947 ,31312 ,36795 ,27986 ,30322 ,30266 ,32853 ,32830 ,35768 ,34178 ,40831 ,38025 ,36820 ,41832 ,36487 ,42971 ,40398 ,45369 ,49984 ,43739 ,58841 ,28052 ,51000 ,27836 ,31961 ,19612 ,27814 ,15192 ,24169 ,8278 ,18168 ,1343 ,9868 ,1 ,0 ,0 ,0 ,0 ,0 
2025-12,경원선,1907,가능,528 ,4 ,8452 ,1565 ,11745 ,3496 ,24165 ,6787 ,20623 ,13680 ,13108 ,8144 ,12582 ,6740 ,12009 ,7541 ,12204 ,8604 ,10926 ,9143 ,9566 ,8372 ,10386 ,11404 ,11105 ,11799 ,12631 ,16658 ,9189 ,19243 ,5463 ,18030 ,4724 ,12249 ,3491 ,9510 ,2720 ,8976 ,1207 ,5207 ,237 ,2583 ,0 ,0 ,0 ,0 ,0 ,0 
