사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2025-12,2호선,0202,을지로입구,108 ,2 ,2848 ,3135 ,4825 ,36872 ,11775 ,132969 ,18587 ,352284 ,27451 ,181524 ,39406 ,102926 ,51777 ,93617 ,58828 ,83086 ,72818 ,85379 ,86174 ,78691 ,103497 ,82974 ,125970 ,95190 ,202383 ,108696 ,297271 ,108293 ,166516 ,68070 ,166869 ,43081 ,124687 ,34334 ,98836 ,26904 ,43484 ,14889 ,12238 ,4845 ,512 ,1866 ,0 ,21 ,0 ,0 
2025-12,2호선,0203,을지로3가,30 ,1 ,1298 ,2071 ,2935 ,25877 ,6930 ,77096 ,13789 ,176475 ,18555 ,74133 ,26724 ,36880 ,31013 ,34262 ,32047 ,32414 ,34114 ,34577 ,38331 ,32387 ,44434 ,34902 ,56409 ,41114 ,103574 ,50175 ,140327 ,55565 ,64980 ,35205 ,54768 ,22917 ,58794 ,19196 ,50823 ,16262 ,28188 ,9583 ,5970 ,3146 ,160 ,615 ,0 ,1 ,0 ,0 
2025-12,2호선,0204,을지로4가,18 ,3 ,1167 ,1287 ,2552 ,14730 ,6280 ,35160 ,12814 ,81354 ,15795 ,42283 ,21168 ,27483 ,24919 ,26296 ,24685 ,24825 ,25981 ,24469 ,28959 ,23445 ,32741 ,22912 ,40691 ,22527 ,66151 ,23364 ,70961 ,23086 ,31052 ,16987 ,20258 ,13372 ,17350 ,13597 ,12597 ,12760 ,6359 ,7945 ,1781 ,2342 ,63 ,393 ,0 ,11 ,0 ,0 
2025-12,2호선,0205,동대문역사문화공원(DDP),205 ,6 ,4440 ,1029 ,4023 ,9023 ,6997 ,22005 ,13517 ,47526 ,16980 ,35538 ,21710 ,33411 ,23618 ,33550 ,26942 ,33314 ,28085 ,35814 ,32003 ,36199 ,39482 ,35992 ,45562 ,37038 ,51608 ,40028 ,52606 ,46103 ,36273 ,40313 ,29658 ,30629 ,28056 ,25843 ,20727 ,23669 ,11968 ,16523 ,7739 ,4903 ,288 ,955 ,0 ,1 ,0 ,0 
2025-12,2호선,0206,신당,50 ,2 ,5833 ,1180 ,11559 ,6890 ,30763 ,14121 ,56072 ,30057 ,31973 ,21987 ,22934 ,19433 ,21857 ,22793 ,25404 ,23954 ,25525 ,25187 ,25541 ,26073 ,27701 ,29999 ,30987 ,35328 ,34536 ,47101 ,34740 ,65234 ,24149 ,43081 ,21225 ,27140 ,20307 ,25376 ,19052 ,22733 ,9831 ,14310 ,2095 ,5092 ,66 ,417 ,0 ,6 ,0 ,0 
2025-12,2호선,0207,상왕십리,12 ,1 ,6213 ,928 ,14461 ,6444 ,42595 ,11760 ,67806 ,30407 ,39554 ,18756 ,26274 ,14542 ,22858 ,14845 ,23875 ,16171 ,23093 ,18437 ,21131 ,19805 ,22763 ,24917 ,25543 ,29749 ,28419 ,40056 ,28719 ,58158 ,19398 ,39924 ,13360 ,27072 ,11711 ,25967 ,8284 ,24443 ,3669 ,14993 ,661 ,5761 ,15 ,317 ,0 ,2 ,0 ,0 
2025-12,2호선,0208,왕십리(성동구청),561 ,5 ,6491 ,1047 ,10334 ,7394 ,27165 ,13964 ,49577 ,29364 ,31376 ,21264 ,23479 ,17645 ,23701 ,20062 ,26622 ,22260 ,26536 ,23217 ,27213 ,24554 ,30125 ,27438 ,36353 ,33076 ,39391 ,44978 ,38860 ,62041 ,26513 ,38998 ,26017 ,26791 ,29320 ,24017 ,26665 ,23157 ,15321 ,15143 ,3056 ,7303 ,73 ,711 ,0 ,7 ,0 ,0 
2025-12,2호선,0209,한양대,4 ,0 ,1163 ,774 ,2908 ,8794 ,6050 ,15520 ,9848 ,60139 ,7914 ,53620 ,9679 ,40497 ,17170 ,20134 ,18635 ,35334 ,22616 ,29100 ,25549 ,21595 ,30868 ,17059 ,38524 ,13129 ,49342 ,15028 ,44150 ,18145 ,22677 ,10579 ,16888 ,7537 ,15998 ,7121 ,11947 ,7084 ,7206 ,4674 ,1713 ,1897 ,19 ,137 ,0 ,0 ,0 ,0 
2025-12,2호선,0210,뚝섬,4 ,0 ,3614 ,2366 ,9358 ,14851 ,19385 ,43399 ,27507 ,145275 ,19641 ,106133 ,18110 ,54464 ,22813 ,43178 ,27983 ,43336 ,32530 ,44368 ,40482 ,40770 ,47811 ,41428 ,61516 ,43497 ,92816 ,47959 ,140151 ,52277 ,75461 ,32430 ,55974 ,18157 ,45214 ,15816 ,29686 ,13971 ,11769 ,8881 ,2102 ,3520 ,33 ,180 ,0 ,4 ,0 ,0 
2025-12,2호선,0211,성수,41 ,0 ,5044 ,6361 ,8531 ,41006 ,20908 ,77868 ,27910 ,266137 ,24184 ,190305 ,25808 ,146507 ,35781 ,142528 ,52171 ,143554 ,71709 ,147955 ,95861 ,144027 ,130787 ,139226 ,170310 ,128396 ,231361 ,118090 ,317896 ,106675 ,192416 ,61857 ,158523 ,30660 ,133793 ,21881 ,87528 ,17003 ,30557 ,11999 ,4357 ,6697 ,55 ,1192 ,3 ,187 ,0 ,0 
